,certifications,workshops,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,worked in teams ever?,Suggested Job Role
367,shell programming,database security,excellent,parallel computing,Business process analyst,Service Based,no,Applications Developer
368,shell programming,cloud computing,excellent,data engineering,testing,Web Services,yes,Applications Developer
369,distro making,web technologies,poor,Computer Architecture,testing,Web Services,yes,Applications Developer
370,full stack,database security,medium,networks,system developer,Finance,no,Applications Developer
371,hadoop,testing,excellent,networks,developer,product development,no,Applications Developer
372,hadoop,cloud computing,poor,cloud computing,testing,Service Based,yes,Applications Developer
373,machine learning,hacking,medium,IOT,security,product development,no,Applications Developer
374,information security,database security,medium,parallel computing,testing,BPA,no,Applications Developer
375,full stack,hacking,excellent,IOT,security,Service Based,no,Applications Developer
376,machine learning,database security,excellent,networks,system developer,Web Services,yes,Applications Developer
377,r programming,database security,excellent,cloud computing,system developer,Web Services,no,Applications Developer
378,hadoop,game development,excellent,IOT,security,BPA,yes,Applications Developer
379,app development,system designing,poor,IOT,cloud computing,Cloud Services,no,Applications Developer
380,shell programming,data science,poor,data engineering,Business process analyst,Web Services,no,Applications Developer
381,hadoop,game development,medium,IOT,system developer,Cloud Services,no,Applications Developer
382,information security,testing,poor,hacking,cloud computing,Finance,no,Applications Developer
383,information security,testing,poor,networks,security,Sales and Marketing,no,Applications Developer
384,python,testing,poor,Management,cloud computing,Product based,yes,Applications Developer
385,shell programming,web technologies,excellent,Management,developer,Sales and Marketing,yes,Applications Developer
386,information security,cloud computing,excellent,Software Engineering,cloud computing,Product based,yes,Applications Developer
387,r programming,database security,medium,Computer Architecture,Business process analyst,Service Based,yes,Applications Developer
388,app development,data science,excellent,networks,system developer,Service Based,no,Applications Developer
389,python,data science,excellent,data engineering,testing,Web Services,no,Applications Developer
390,hadoop,web technologies,excellent,data engineering,cloud computing,Web Services,yes,Applications Developer
391,hadoop,system designing,medium,IOT,developer,product development,no,Applications Developer
392,information security,database security,poor,programming,security,Product based,no,Applications Developer
393,information security,system designing,poor,Management,developer,BPA,no,Applications Developer
394,information security,data science,excellent,programming,Business process analyst,SAaS services,no,Applications Developer
395,information security,web technologies,excellent,Software Engineering,cloud computing,product development,no,Applications Developer
396,information security,game development,poor,networks,testing,Service Based,no,Applications Developer
397,hadoop,system designing,excellent,data engineering,cloud computing,Cloud Services,no,Applications Developer
398,information security,data science,poor,cloud computing,Business process analyst,SAaS services,no,Applications Developer
399,hadoop,testing,poor,Software Engineering,security,product development,no,Applications Developer
400,full stack,cloud computing,poor,cloud computing,cloud computing,product development,no,Applications Developer
401,information security,hacking,poor,networks,developer,BPA,yes,Applications Developer
402,hadoop,system designing,poor,IOT,system developer,Service Based,no,Applications Developer
403,full stack,system designing,poor,data engineering,cloud computing,Sales and Marketing,yes,Applications Developer
404,r programming,hacking,medium,Computer Architecture,system developer,BPA,yes,Applications Developer
405,machine learning,cloud computing,poor,Software Engineering,Business process analyst,SAaS services,yes,Applications Developer
406,python,web technologies,medium,networks,system developer,Finance,yes,Applications Developer
407,full stack,system designing,poor,networks,security,Product based,yes,Applications Developer
408,distro making,database security,medium,programming,testing,Web Services,no,Applications Developer
